"subjID","choice","trial","outcome_blue","outcome","amount_blue","amount_orange","status","magLoss","choiceB","out","outcome_blue1"
10794,2,51,1,0,24,39,-1,0,0,1,0
10794,2,52,0,1,10,20,-1,20,0,-1,1
10794,2,53,0,1,43,85,-1,85,0,-1,1
10794,1,54,0,0,7,77,-1,0,1,1,1
10794,2,55,1,0,90,95,-1,0,0,1,0
10794,1,56,1,1,7,56,-1,7,1,-1,0
10794,2,57,1,0,69,50,-1,0,0,1,0
10794,2,58,1,0,83,4,-1,0,0,1,0
10794,1,59,0,0,8,40,-1,0,1,1,1
10794,2,60,1,0,86,47,-1,0,0,1,0
10794,2,61,1,0,49,15,-1,0,0,1,0
10794,2,62,1,0,39,17,-1,0,0,1,0
10794,2,63,0,1,97,76,-1,76,0,-1,1
10794,1,64,1,1,14,73,-1,14,1,-1,0
10794,1,65,1,1,29,67,-1,29,1,-1,0
10794,2,66,1,0,39,48,-1,0,0,1,0
10794,2,67,1,0,99,30,-1,0,0,1,0
10794,2,68,0,1,20,13,-1,13,0,-1,1
10794,2,69,1,0,59,66,-1,0,0,1,0
10794,2,70,1,0,60,20,-1,0,0,1,0
10794,2,71,1,0,25,41,1,0,0,1,0
10794,2,72,0,1,70,76,1,76,0,-1,1
10794,2,73,0,1,18,73,1,73,0,-1,1
10794,2,74,0,1,80,41,1,41,0,-1,1
10794,2,75,1,0,76,25,1,0,0,1,0
10794,2,76,0,1,52,34,1,34,0,-1,1
10794,2,77,0,1,60,30,1,30,0,-1,1
10794,1,78,0,0,36,91,1,0,1,1,1
10794,2,79,0,1,59,70,1,70,0,-1,1
10794,2,80,1,0,47,64,1,0,0,1,0
10794,2,81,0,1,44,28,1,28,0,-1,1
10794,2,82,0,1,80,2,1,2,0,-1,1
10794,2,83,0,1,39,20,1,20,0,-1,1
10794,1,84,0,0,61,32,1,0,1,1,1
10794,1,85,0,0,61,90,1,0,1,1,1
10794,1,86,1,1,70,62,1,70,1,-1,0
10794,1,87,0,0,33,17,1,0,1,1,1
10794,1,88,0,0,17,74,1,0,1,1,1
10794,2,89,0,1,85,2,1,2,0,-1,1
10794,2,90,0,1,76,39,1,39,0,-1,1
10794,1,91,0,0,20,70,1,0,1,1,1
10794,2,92,1,0,69,24,1,0,0,1,0
10794,1,93,1,1,52,59,1,52,1,-1,0
10794,2,94,0,1,43,15,1,15,0,-1,1
10794,1,95,1,1,34,50,1,34,1,-1,0
10794,1,96,0,0,48,43,1,0,1,1,1
10794,2,97,1,0,35,14,1,0,0,1,0
10794,2,98,1,0,42,12,1,0,0,1,0
10794,2,99,1,0,44,40,1,0,0,1,0
10794,1,100,1,1,50,88,1,50,1,-1,0
10794,1,101,1,1,19,51,1,19,1,-1,0
10794,2,102,1,0,59,44,1,0,0,1,0
10794,2,103,1,0,9,23,1,0,0,1,0
10794,2,104,1,0,76,23,1,0,0,1,0
10794,1,105,1,1,47,94,1,47,1,-1,0
10794,2,106,0,1,56,67,1,67,0,-1,1
10794,1,107,1,1,16,50,1,16,1,-1,0
10794,1,108,1,1,7,83,1,7,1,-1,0
10794,1,109,1,1,41,86,1,41,1,-1,0
10794,2,110,1,0,37,61,1,0,0,1,0
10794,2,111,0,1,57,82,1,82,0,-1,1
10794,1,112,0,0,28,68,1,0,1,1,1
10794,2,113,0,1,76,65,1,65,0,-1,1
10794,1,114,0,0,19,25,1,0,1,1,1
10794,1,115,0,0,68,67,1,0,1,1,1
10794,1,116,0,0,68,82,1,0,1,1,1
10794,1,117,0,0,19,88,1,0,1,1,1
10794,1,118,1,1,11,55,1,11,1,-1,0
10794,1,119,1,1,36,74,1,36,1,-1,0
10794,2,120,0,1,64,18,1,18,0,-1,1
10794,1,121,0,0,3,15,1,0,1,1,1
10794,1,122,0,0,76,91,1,0,1,1,1
10794,1,123,0,0,92,66,1,0,1,1,1
10794,1,124,0,0,14,67,1,0,1,1,1
10794,2,125,1,0,77,11,1,0,0,1,0
10794,1,126,0,0,20,36,1,0,1,1,1
10794,1,127,0,0,61,44,1,0,1,1,1
10794,2,128,0,1,34,4,1,4,0,-1,1
10794,1,129,0,0,63,86,1,0,1,1,1
10794,1,130,0,0,43,99,1,0,1,1,1
10794,1,131,1,1,56,95,1,56,1,-1,0
10794,1,132,0,0,63,89,1,0,1,1,1
10794,1,133,1,1,80,88,1,80,1,-1,0
10794,1,134,0,0,10,5,1,0,1,1,1
10794,2,135,1,0,80,35,1,0,0,1,0
10794,2,136,1,0,57,8,1,0,0,1,0
10794,1,137,1,1,47,78,1,47,1,-1,0
10794,2,138,1,0,99,5,1,0,0,1,0
10794,2,139,1,0,67,62,1,0,0,1,0
10794,1,140,0,0,27,95,1,0,1,1,1
10986,2,1,1,0,37,44,-1,0,0,1,0
10986,2,2,1,0,12,66,-1,0,0,1,0
10986,1,3,1,1,9,98,-1,9,1,-1,0
