"subjID","choice","trial","outcome_blue","outcome","amount_blue","amount_orange","status"
"C40017",1,86,1,1,70,62,1
"C40017",1,87,0,0,33,17,1
"C40017",1,88,0,0,17,74,1
"C40017",2,89,0,1,85,2,1
"C40017",1,90,0,0,76,39,1
"C40017",1,91,0,0,20,70,1
"C40017",2,92,1,0,69,24,1
"C40017",1,93,1,1,52,59,1
"C40017",2,94,0,1,43,15,1
"C40017",1,95,1,1,34,50,1
"C40017",2,96,0,1,48,43,1
"C40017",2,97,1,0,35,14,1
"C40017",2,98,1,0,42,12,1
"C40017",2,99,1,0,44,40,1
"C40017",1,100,1,1,50,88,1
"C40017",1,101,1,1,19,51,1
"C40017",2,102,1,0,59,44,1
"C40017",1,103,1,1,9,23,1
"C40017",2,104,1,0,76,23,1
"C40017",1,105,1,1,47,94,1
"C40017",2,106,0,1,56,67,1
"C40017",1,107,1,1,16,50,1
"C40017",1,108,1,1,7,83,1
"C40017",2,109,1,0,41,86,1
"C40017",2,110,1,0,37,61,1
"C40017",2,111,0,1,57,82,1
"C40017",2,112,0,1,28,68,1
"C40017",2,113,0,1,76,65,1
"C40017",1,114,0,0,19,25,1
"C40017",1,115,0,0,68,67,1
"C40017",1,116,0,0,68,82,1
"C40017",1,117,0,0,19,88,1
"C40017",1,118,1,1,11,55,1
"C40017",1,119,1,1,36,74,1
"C40017",2,120,0,1,64,18,1
"C40017",1,121,0,0,3,15,1
"C40017",1,122,0,0,76,91,1
"C40017",1,123,0,0,92,66,1
"C40017",1,124,0,0,14,67,1
"C40017",1,125,1,1,77,11,1
"C40017",1,126,0,0,20,36,1
"C40017",1,127,0,0,61,44,1
"C40017",2,128,0,1,34,4,1
"C40017",1,129,0,0,63,86,1
"C40017",1,130,0,0,43,99,1
"C40017",1,131,1,1,56,95,1
"C40017",1,132,0,0,63,89,1
"C40017",1,133,1,1,80,88,1
"C40017",1,134,0,0,10,5,1
"C40017",1,135,1,1,80,35,1
"C40017",2,136,1,0,57,8,1
"C40017",1,137,1,1,47,78,1
"C40017",2,138,1,0,99,5,1
"C40017",1,139,1,1,67,62,1
"C40017",1,140,0,0,27,95,1
"C40062",1,1,1,1,37,44,-1
"C40062",2,2,1,0,12,66,-1
"C40062",2,3,1,0,9,98,-1
"C40062",1,4,0,0,91,20,-1
"C40062",1,5,1,1,8,28,-1
"C40062",2,6,1,0,33,30,-1
"C40062",2,7,1,0,24,27,-1
"C40062",2,8,0,1,43,58,-1
"C40062",2,9,1,0,47,72,-1
"C40062",2,10,0,1,44,44,-1
"C40062",1,11,1,1,26,69,-1
"C40062",2,12,1,0,41,6,-1
"C40062",2,13,1,0,34,88,-1
"C40062",2,14,0,1,18,73,-1
"C40062",2,15,1,0,25,60,-1
"C40062",1,16,1,1,6,68,-1
